sample_name,legend
20220915195311875009.png,['CONN' 'lab' 'army' 'Ti']
20220915195312898335.png,['COL' 'Fe']
20220915195313824307.png,['Coal' 'CONN' 'Anhydrite']
20220915195314606469.png,['Shale' 'IND' 'Sandstone']
20220915195315417112.png,
20220915195316387093.png,['DEL' 'Chert' 'ARIZ']
20220915195317152910.png,
20220915195318118118.png,['IN' 'IL' 'Coal' 'IDA']
20220915195318992507.png,['C' 'Coal' 'CALIF']
20220915195319845323.png,['KY' 'FL' 'lab' 'Mg']
20220915195320644152.png,['IND' 'river']
20220915195321659706.png,
20220915195322434740.png,['DC' 'Gypsum']
20220915195323241552.png,['Ti' 'HAW' 'KS' 'buyer']
20220915195324210984.png,['army' 'HAW' 'Fe']
20220915195325157846.png,['Zn' 'MI' 'Coal' 'ME']
20220915195326022156.png,
20220915195327204616.png,['Tuff' 'CO']
20220915195328009127.png,['Ca' 'ARIZ' 'HI' 'lake']
20220915195328808608.png,['Fe' 'Coal']
20220915195329575552.png,['IN' 'CT' 'Ca']
20220915195330578543.png,['Ti' 'Halite' 'Sandstone']
20220915195331545901.png,
20220915195332351656.png,['river' 'CT' 'dirt' 'HAW']
20220915195333302313.png,['Pyroxenes' 'AL' 'town']
20220915195334267212.png,['ME' 'dirt' 'area']
20220915195335174139.png,['KY' 'FLA']
20220915195335947058.png,
20220915195336730483.png,['mode' 'MD' 'Diatomite']
20220915195337586477.png,['Carbonates' 'ID' 'Gypsum']
20220915195338536176.png,['Na' 'FL' 'MI']
20220915195339367196.png,['HI' 'KS' 'P' 'GA']
20220915195342606665.png,
20220915195343474308.png,['area' 'week' 'Iron oxides' 'Micas']
20220915195344238323.png,['dirt' 'goal' 'buyer']
20220915195345087524.png,['bonus' 'Tuff' 'Co']
20220915195346217480.png,
20220915195347065269.png,
